Content,Label
"CSV file helpful for all the guys to save the particular domains on site.<div>For more visit <a href=""http://www.genericapharmacy.net/"" title=""Generic Viagra Online"" target=""_blank"">Generic Viagra Online</a></div>",1
I can't view or edit my profile after login. Everytime after clicking on it shows server error (500).NEED HELP !!!,1
Which is the first digital state in India ?,1
Audio in this file is not clear. Not only in this file but also in some files. Please check it.,1
what is c?,1
who discovered c language,1
"<a href=""http://www.onlinegenericpills.co/product/careprost"" target=""_blank"" title="""">careprost for sale online</a>",1
\u0906\u092a\u0915\u093e \u0936\u0941\u0915\u094d\u0930\u093f\u092f\u093e \u0915\u092a\u093f\u0932 \u091c\u0940\u0964,1
How I can gave online test ????? Can you gave me the instructions please ...,1
"Hey guys, I'm a dutch student and fairly new but enormously interested in the Open Source world. Currently I'm doing research into what makes Free Open Source Software so effective. I thought the Advance C topic to be the most logical, because there is no other general forum. If you ever particpated in a OSS project, please help me out with only 5 minutes of your time by filling in my survey on https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_6XPK8o6wTEA84QJ . My eternal gratitude!",1
There is no Fund/Remuneration released from Govt. of India to colleges/Faculty Coordinator in this project as there is regular involvment of the faculty.,1
What is the procedure to attend online test?,1
Please improve that in every second,1
"Dear Sir/madam, Unfortunately i had not downloaded the certificate of workshop. Will you resend to me please?",1
Blank space ie no question asked ,1
Can u please provide the test details of JAVA and HTML test. It is not showing for the upcoming tests details.,1
Till what date you will upload intermediate and advance level. This level will help many student to do excellent in Arduino.,1
Can u please provide the test details,1
"<font size=""4"">HOW TO CREATE THE TEXT BEFORE DOCUMENT CAN</font>",1
My invigilator tab is showing empty how can I assign an invigilator please let me know ,1
"Hello, I accessed a link for a few years . But starting a couple days ago I cannot access it from my notebook however, I can still access the link from my ipad. And nothing changed on the link page. The link itself should be safe and has no problem. Please help. Thanks! I didn't find the right solu tion from the Internet.",1
"Buy Some Crap! I’ve got: 
TK421’s
Rick Rolls
My Pod Accessories
Send email for lowest guaranteed prices!

sumfool@spammail.net",1
"Hi Everyone! We just finished our new site that sells discount perfume. Please let me know what you think. Check it out right away, there are some great sales for the first 2 weeks: www.xyz.com",1
"Also having issues with the amazon assistant box popping up every 5 seconds, driving me crazy. Are you able to help get rid of it? I tried uninstalling but wasn't able to so followed instructions from another post. I tried to copy and paste the FRST text but this thread wouldn't allow that many characters. Please help. Thanks! I didn't find the right solution from the Internet. References:https://forums.techguy.org/threads/amazon-assistant-problem.1195391/ Animated marketing videos",1
"Buy Registered IELTS,TOEFL,Certificates,Passports,Drivers License,ID Cards,Visas, ((BestDocumentation@qualityservice.com)) We offer our exclusive clients the ability to gain IELTS,TOEFL,ESOL AUTO DESK certificates without taking the exams. The regions we cover are Asia ,UAE, Qatar, Oman, Saudi Arabia, Jordan,Kuwait ,Australia ,Canada and Europe Purchase Real and Novelty Passports,id cards,Visas,Drivers License ,Counterfeits Email us at BestDocumentation@qualityservice.com for details Are you trying to change your nationality ? do you need work papers ? do you want to travel ? do you need papers you cant have ?if yes then you are in the right place at the right time We are an independent group of specialized IT professionals and data base technicians who are specialized in the production of Real and Novelty quality documents such as passports,drivers license,id cards,stamps,visas,diplomas of very high quality and other products for all countries: USA, Australia,UK, Belgium, Brazil,Canada,Italian,Finland, France, Germany, Israel, Mexico, Netherlands, South Africa,Spain,Switzerland,This list is not full.contact General support:To get the additional information and place the order,BEST COUNTERFEIT EURO,POUNDS & DOLLAR NOTES. For any inquiry send an email at:((BestDocumentation@qualityservice.com)). Text or call for more infor at:((+237671936590)). Skype us at: ((best qualityservice)) ((http://best-documentation-quality.sitey.me)) ",1
"Hello, I put up my SIG earlier, along with my avatar, and they are not showing up for me! This sounded nooby but please help! once this is posted i bet that my avatar and SIG will appear, so if they do I apologise. Please help. Thanks! I didn't find the right solution from the Internet. References:https://forum.supercell.com/showthread.php/1609492-My-SIG-is-not-showing-up Installation video",1
"In the forum statistics, one of the numbers is ""active members."" What does that mean? I assume it does not mean online members, as it seems to be far too high of a number for that, but what makes one user ""active"" but another user ""inactive,"" according to the Forum coding?",1
"please refer the following link for details of this question : http://forums.spoken-tutorial.org/question/513/certificate/ ""I am forget to take certificate of online test that is (C and Cpp)... on 19 dec 2014 .... how can i take this certificate ....now..details are",1
"I have added a batch of 86 students in the test schedule. But the master BATCH list contains 98 students. I would like to add those missing students name also to be presented in the Ongoing Test schedule list which is planned on 27 Dec 2017. How to add? Please help. Regards, Muthu 9962585841",1
i am not able to give any test. I have been trying to attempt tests from past 3 months . Link to test doesn't open at all. Kindly help me.,1
"Below the Windows installation two types step's to Follow<div>With CD &amp; With boo table OS CD.</div><div>Go to visit &nbsp;<b><a href=""http://www.kamagrakaufensie.com/"" title=""http://www.kamagrakaufensie.com/"" target="""">Kamagra bestellen</a></b></div><div><br></div>",1
"in;margin-bottom:.0001pt;line-height:\r\nnormal""><span style=""font-size:12.0pt;mso-fareast-font-family:&quot;Times New Roman&quot;;\r\nmso-bidi-font-family:Calibri;mso-bidi-theme-font:minor-latin""><i><u><a href=""http://www.onlinegenericpills.co/product/careprost"" title="""" target=""_blank""><b>careprost for sale online</b></a></u></i><br></span></p>\r\n\r\n",1
"<i><b><a href=""http://www.onlinegenericpills.co/product/careprost"" title="""" target=""_blank"">careprost for sale online</a></b></i></u><br>",1
"A CSV is a comma separated values file, which allows data to be saved in a table structured format.<br><u><i><b><a href=""http://www.onlinegenericpills.co/product/careprost"" title="""" target=""_blank"">Buy Careprost online</a></b></i></u><br>",1
"Great post thanks for sharing nice work interesting read. Really&nbsp;<span style=""background-color: rgb(255, 255, 255);"">CSV file helpful for all the guys&nbsp;</span><div>Regards</div><div><b><a href=""http://www.sureviagra.com/generic-viagra.html"" target="""" title="""">Viagra Online</a></b></div>",1
